web_url,snippet,source,keywords,pub_date,word_count,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.organization,title,index,original_title,budget,original_language,homepage,overview,popularity,runtime,revenue,release_date,vote_average,vote_count,generes,spoken_language,production_countries
https://www.nytimes.com/2019/04/19/movies/kalank-review.html,Abhishek Varman’s maximalist melodrama delivers spectacle (some of it mind-numbing) but fails to tell a gripping story.,The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: creative_works, value: Kalank (Movie), rank: 2, major: N, name: persons, value: Varman, Abhishek, rank: 3, major: N",2019-04-19T15:38:08+0000,479,‘Kalank’ Review: A Bollywood Love Story in the Shadow of Partition,,,An Extravagant Spectacle,,,,By Rachel Saltz,,Kalank,235.0,कलंक,0.0,hi,,"Set in 1945, in Pre-Independent India, the elite, opulent and solemn world of the Chaudhry family, and the wild, mysterious and musical underbelly of the town, Hira Mandi, clash when Roop Chaudhry encounters Zafar, a daredevil from Hira Mandi, unleashing deep-buried truths, secrets of betrayal and affairs that threaten to bring both worlds crashing down.",13.798,166.0,0.0,2019-04-17,5.63,50.0,"Drama, Romance",Hindi,India
https://www.nytimes.com/2019/04/18/movies/rafiki-review.html,The story of a romance between two Kenyan women was shown at Cannes after being banned in Kenya.,The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: persons, value: Kahiu, Wanuri, rank: 2, major: N, name: creative_works, value: Rafiki (Movie), rank: 3, major: N, name: persons, value: Mugatsia, Samantha, rank: 4, major: N, name: persons, value: Munyiva, Sheila, rank: 5, major: N",2019-04-18T11:00:06+0000,251,"‘Rafiki’ Review: Falling in Love, Illegally",,,Rafiki,,,,By Ben Kenigsberg,,Rafiki,237.0,Rafiki,0.0,sw,http://www.mpmfilm.com/rafiki-2/,"Kena and Ziki long for something more. Despite the political rivalry between their families, the girls resist and remain close friends, supporting each other to pursue their dreams in a conservative society. When love blossoms between them, the two girls will be forced to choose between happiness and safety.",7.833,82.0,181316.0,2018-09-26,7.029,138.0,"Drama, Romance","Swahili, English","Kenya, South Africa"
https://www.nytimes.com/2019/03/28/movies/diane-review.html,"Mary Kay Place is astonishing as a weary widow dealing with guilt, heartache and a diminishing circle of friends.",The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: creative_works, value: Diane (Movie), rank: 2, major: N, name: persons, value: Jones, Kent, rank: 3, major: N, name: persons, value: Place, Mary Kay, rank: 4, major: N, name: persons, value: Parsons, Estelle, rank: 5, major: N, name: persons, value: Martin, Andrea (1947- ), rank: 6, major: N",2019-03-28T11:00:01+0000,511,"‘Diane’ Review: A Vibrant Tale of Love, Sisterhood and Decline",Critic’s Pick,,"A Vibrant Tale of Love, Sisterhood and Decline",,,,By Jeannette Catsoulis,,Diane,239.0,Diane,0.0,en,,"Asked by Francis I to tutor his son, Diane de Poitiers becomes the future King Henry II's mistress in 1500s France.",4.595,110.0,0.0,1956-01-12,5.7,8.0,"Drama, History, Romance",English,United States of America
https://www.nytimes.com/2019/03/14/movies/five-feet-apart-review.html,Haley Lu Richardson and Cole Sprouse navigate the rules of attraction and of a hospital in this film about living with cystic fibrosis.,The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: creative_works, value: Five Feet Apart (Movie), rank: 2, major: N, name: persons, value: Baldoni, Justin, rank: 3, major: N",2019-03-14T13:00:07+0000,258,‘Five Feet Apart’ Review: Ailing Teenagers Live Dangerously for Love,,,Five Feet Apart,,,,By Ben Kenigsberg,,Five Feet Apart,241.0,Five Feet Apart,7000000.0,en,,"Seventeen-year-old Stella spends most of her time in the hospital as a cystic fibrosis patient. Her life is full of routines, boundaries and self-control — all of which get put to the test when she meets Will, an impossibly charming teen who has the same illness. There's an instant flirtation, though restrictions dictate that they must maintain a safe distance between them. As their connection intensifies, so does the temptation to throw the rules out the window and embrace that attraction.",59.498,116.0,92600000.0,2019-03-14,8.267,5487.0,"Romance, Drama","English, French, Spanish",United States of America
https://www.nytimes.com/2019/03/13/movies/ash-is-purest-white-review.html,"In Jia Zhangke’s enthralling new feature, Zhao Tao and Liao Fan portray an underworld power couple at the mercy of time and fate.",The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: persons, value: Jia Zhang Ke, rank: 2, major: N, name: persons, value: Liao Fan (1974- ), rank: 3, major: N, name: persons, value: Zhao Tao (1977- ), rank: 4, major: N, name: creative_works, value: Ash Is Purest White (Movie), rank: 5, major: N",2019-03-13T15:44:46+0000,911,‘Ash Is Purest White’ Review: Love Smolders and Crime Pays in a Changing China,Critic’s Pick,,"Gangsters’ Paradise Lost, in China",,,,By A.O. Scott,,Ash Is Purest White,243.0,江湖儿女,0.0,zh,,"Set in China's underworld, this tale of love and betrayal follows a dancer who fired a gun to protect her mobster boyfriend during a fight. On release from prison 5 years later, she sets out to find him.",13.281,141.0,0.0,2018-09-21,6.862,304.0,"Crime, Romance, Drama",Mandarin,"France, Japan, China"
https://www.nytimes.com/2019/03/07/movies/gloria-bell-review.html,The Chilean writer-director Sebastián Lelio finds a perfect partner in Moore for this fantastic remake of his 2013 movie “Gloria.”,The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: creative_works, value: Gloria Bell (Movie), rank: 2, major: N, name: persons, value: Moore, Julianne, rank: 3, major: N, name: persons, value: Turturro, John, rank: 4, major: N, name: persons, value: Lelio, Sebastian, rank: 5, major: N",2019-03-07T18:49:47+0000,991,‘Gloria Bell’ Review: Love Is in the Air for a Transcendent Julianne Moore,Critic’s Pick,,"Love, and Some Laughter, Is in the Air",,,,By Manohla Dargis,,Gloria Bell,245.0,Gloria Bell,0.0,en,https://a24films.com/films/gloria-bell,"Gloria is a free-spirited divorcée who spends her days at a straight-laced office job and her nights on the dance floor, joyfully letting loose at clubs around Los Angeles. After meeting Arnold on a night out, she finds herself thrust into an unexpected new romance, filled with both the joys of budding love and the complications of dating, identity, and family.",15.627,102.0,11145006.0,2019-03-07,5.954,307.0,"Drama, Romance",English,"Chile, United States of America"
https://www.nytimes.com/2019/03/06/movies/black-mother-review.html,"In Khalik Allah’s poetic movie, the most prevalent perspective is not that of a documentarian, but of a filmmaker’s love.",The New York Times,"name: subject, value: Documentary Films and Programs, rank: 1, major: N, name: persons, value: Allah, Khalik (1985- ), rank: 2, major: N, name: creative_works, value: Black Mother (Movie), rank: 3, major: N",2019-03-06T18:30:16+0000,380,‘Black Mother’ Review: Exploring the Roots of Life Itself,Critic’s Pick,,"Exploring the Roots of Life Itself, With Love",,,,By Glenn Kenny,,Black Mother,247.0,Black Mother,0.0,en,https://dogwoof.com/blackmother,"Part film, part baptism, in BLACK MOTHER director Khalik Allah brings us on a spiritual journey through Jamaica. Soaking up its bustling metropolises and tranquil countryside, Allah introduces us to a succession of vividly rendered souls who call this island home. Their candid testimonies create a polyphonic symphony, set against a visual prayer of indelible portraiture. Thoroughly immersed between the sacred and profane, BLACK MOTHER channels rebellion and reverence into a deeply personal ode informed by Jamaica’s turbulent history but existing in the urgent present.",2.503,77.0,0.0,2018-11-02,6.6,15.0,Documentary,English,United States of America
https://www.nytimes.com/2019/02/28/movies/the-hole-in-the-ground-review.html,"Something strange is going on in the Irish countryside, and it’s not just the giant roiling pit of dirt.",The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: creative_works, value: The Hole in the Ground (Movie), rank: 2, major: N, name: persons, value: Cronin, Lee (Film Director), rank: 3, major: N",2019-02-28T12:00:09+0000,291,‘The Hole in the Ground’ Review: A Horror Film Is Suffocated by a Mother’s Love,,,The Hole  in the Ground,,,,By Teo Bugbee,,The Hole in the Ground,249.0,The Hole in the Ground,0.0,en,,"Trying to escape her broken past, Sarah O’Neill is building a new life on the fringes of a backwood rural town with her young son Chris. A terrifying encounter with a mysterious neighbour shatters her fragile security, throwing Sarah into a spiralling nightmare of paranoia and mistrust, as she tries to uncover if the disturbing changes in her little boy are connected to an ominous sinkhole buried deep in the forest that borders their home.",14.177,90.0,3373474.0,2019-03-01,5.631,662.0,Horror,English,"Belgium, Finland, Ireland, United Kingdom"
https://www.nytimes.com/2019/02/20/movies/how-to-train-your-dragon-hidden-world-review.html,The third in this franchise concerns the exigencies that poor Hiccup must face as the leader of Berk.,The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: persons, value: DeBlois, Dean, rank: 2, major: N, name: persons, value: Baruchel, Jay, rank: 3, major: N, name: persons, value: Abraham, F Murray, rank: 4, major: N, name: persons, value: Ferrera, America, rank: 5, major: N, name: creative_works, value: How to Train Your Dragon: The Hidden World (Movie), rank: 6, major: N",2019-02-21T00:02:36+0000,531,‘How to Train Your Dragon: The Hidden World’ Review: A Series Scales Up,,,Love Takes Wing Amid Trouble in Utopia,,,,By Ben Kenigsberg,,How to Train Your Dragon: The Hidden World,251.0,How to Train Your Dragon: The Hidden World,129000000.0,en,https://www.howtotrainyourdragon.com/,"As Hiccup fulfills his dream of creating a peaceful dragon utopia, Toothless’ discovery of an untamed, elusive mate draws the Night Fury away. When danger mounts at home and Hiccup’s reign as village chief is tested, both dragon and rider must make impossible decisions to save their kind.",88.189,104.0,524580592.0,2019-01-03,7.752,6207.0,"Animation, Family, Adventure",English,United States of America
https://www.nytimes.com/2019/02/14/movies/a-tuba-to-cuba-review.html,This joyous documentary follows the Preservation Hall Jazz Band to Cuba for a celebration of musical history and common bonds.,The New York Times,"name: subject, value: Documentary Films and Programs, rank: 1, major: N, name: creative_works, value: A Tuba to Cuba (Movie), rank: 2, major: N, name: persons, value: Herrington, TG, rank: 3, major: N, name: persons, value: Clinch, Danny, rank: 4, major: N, name: subject, value: Jazz, rank: 5, major: N, name: organizations, value: Preservation Hall Jazz Band, rank: 6, major: N",2019-02-14T12:00:01+0000,267,‘A Tuba to Cuba’ Review: A New Orleans Jazz Band Makes a Caribbean Connection,Critic’s Pick,,Love Notes Forge a Caribbean Bond,,,,By Jeannette Catsoulis,,A Tuba to Cuba,,,,,,,,,,,,,nan,nan,nan
